txId,count_predecessors_t,count_successors_t,mean_predecessor_betweenness_t,mean_predecessor_asymmetry_t,std_predecessor_degree_t,mean_successor_betweenness_t,mean_successor_asymmetry_t,std_successor_degree_t
230425980,1,1,3.8118850000038116e-07,0.0,0.0,2.5387154100025386e-07,0.0,0.0
5530458,1,1,5.077430820005077e-07,0.0,0.0,0.0,1.0,0.0
232022460,1,2,0.0,0.0,0.0,1.905942500001906e-05,0.4937888198757764,79.5
232438397,160,1,5.451241734245035e-07,-0.34175595238095235,2.209319748248315,3.097232800203097e-05,0.0,0.0
230460314,2,8,0.0,-0.6111111111111112,1.5,1.031670792396865e-07,0.04646464646464646,3.314268395890713
230459870,4,6,0.0,-0.6055555555555555,2.0615528128088303,6.667177459256666e-06,0.1915824915824916,9.249624617007738
230333930,0,2,0.0,0.0,0.0,8.25082508250825e-06,0.16666666666666666,0.5
230595899,2,1,4.1930735000041925e-06,-0.33333333333333337,0.5,2.4396064000024394e-05,0.3333333333333333,0.0
232013274,0,2,0.0,0.0,0.0,6.917999492256918e-06,0.48333333333333334,29.0
232029206,59,1,2.1729682746631898e-07,-0.6217514124293786,1.2724287714659972,1.2566641279512566e-05,-0.5,0.0
232344069,0,2,0.0,0.0,0.0,0.0,0.5,0.5
27553029,1,1,0.0,-1.0,0.0,0.0,-0.3333333333333333,0.0
36411953,1,1,0.0,0.5,0.0,0.0,0.3333333333333333,0.0
230405052,2,1,0.0,0.0,0.0,1.2693577050012693e-07,0.3333333333333333,0.0
34194980,1,2,0.0,0.0,0.0,2.5387154100025386e-07,0.5,1.5
5529846,2,2,3.8080731150038076e-07,-0.16666666666666666,0.5,0.0,1.0,0.5
3881097,1,1,0.00010453160700685454,-0.9930795847750865,0.0,2.5387154100025386e-07,0.0,0.0
232457116,1,1,2.541256666669208e-07,0.0,0.0,0.0,1.0,0.0
230409257,1,1,0.0,0.0,0.0,0.0,0.0,0.0
32877982,1,1,0.0,0.0,0.0,0.0,0.0,0.0
230351738,0,2,0.0,0.0,0.0,7.743082000507743e-06,0.35714285714285715,2.5
195218118,1,1,0.0,-1.0,0.0,0.0,-0.3333333333333333,0.0
88008478,0,1,0.0,0.0,0.0,5.331302361005331e-06,0.6,0.0
232012569,8,2,0.0,-1.0,0.4330127018922193,3.522467631378522e-05,0.2380952380952381,9.0
