time_step,mean_betweenness_t,median_betweenness_t,std_betweenness_t,mean_total_degree_t,median_total_degree_t,std_total_degree_t,mean_abs_asymmetry_t,mean_pagerank_t,frac_extreme_asymmetry_t,outlier_node_count_t,outlier_node_fraction_t,degree_skewness_t,degree_kurtosis_t,n_nodes,n_edges,density,n_weak_components,z_mean_betweenness_t,z_mean_total_degree_t,z_mean_abs_asymmetry_t,z_mean_pagerank_t,z_frac_extreme_asymmetry_t,z_outlier_node_fraction_t,z_degree_skewness_t,z_degree_kurtosis_t,z_density,z_n_weak_components,timestep_anomaly_score,timestep_anomaly_flag
1,5.5886417426229395e-06,0.0,2.8428555832282032e-05,2.3258883248730964,2.0,4.941119468752356,0.4529998053737397,0.0001269035532994924,0.375,290,0.03680203045685279,37.10576177158248,1766.3698561037313,7880,9164,0.00014760047752716693,1,-0.283627223476638,0.4417444580787462,-1.022718991347035,-1.1236218686814472,-1.2439603557270917,-1.1673705780244847,2.466675001280866,2.501870532545179,-1.173127116340364,0.0,2.501870532545179,1
2,4.471432375347605e-05,0.0,0.00014515599491104282,2.3067781690140845,2.0,2.543409226529087,0.5240676781568809,0.00022007042253521133,0.45774647887323944,428,0.09419014084507042,10.55024237801509,186.6804474326996,4544,5241,0.0002538826952469827,1,-0.1850664679169958,0.31756267013662043,-0.08446783015624545,-0.46896743862157964,-0.24866750377233432,1.0522523376246242,-0.9203514700635935,-0.6341261975139547,-0.4401109754088179,0.0,1.0522523376246242,0
3,0.0012401651157878733,1.8147774606454166e-06,0.002634938229136409,2.512007249660172,2.0,2.4491904891027083,0.4017165454870677,0.0001510345869204049,0.31113124905603384,1086,0.16402356139555957,6.319671396161505,53.59338138229817,6621,8316,0.00018972864423415198,1,2.8263707068931305,1.6511841413781254,-1.6997700448539192,-0.954060648137638,-2.0121877430844335,3.753227495779527,-1.4599400840942713,-0.8983304149102984,-0.8825740318584102,0.0,3.753227495779527,1
4,0.0002831432757421014,0.0,0.0007588289727217286,2.873704549446689,2.0,4.971955672918516,0.4806024238074306,0.0001756543123133674,0.3996135605129106,531,0.09327243983839803,23.568146772103482,790.1462985583529,5693,8180,0.00025243363926973723,1,0.41555533463136485,4.001568811848897,-0.658304132943388,-0.781065543466018,-0.9479030349414646,1.016758048470568,0.740018494113769,0.5638731847978529,-0.450104946585016,0.0,4.001568811848897,1
5,8.64530544164244e-06,0.0,2.4868980139080422e-05,2.5350580626194326,2.0,4.351614229889022,0.4915768098967036,0.00014699397324709692,0.41555196236954284,531,0.07805379979420844,26.806667839676553,1109.8054275479642,6803,8623,0.00018634652033368366,1,-0.2759272405451321,1.8009731429916624,-0.5134182641481281,-0.9824527757586593,-0.7561924309919011,0.4281406160688612,1.1530759990832915,1.1984599445383755,-0.9059001485208349,0.0,1.8009731429916624,0
6,0.0025699094186774963,0.0008692787794729542,0.002980355491908044,2.422365988909427,2.0,3.6211865008226467,0.3363420008113461,0.00023105360443622918,0.26270794824399263,104,0.024029574861367836,25.281749765579264,890.1674413968149,4328,5242,0.00027991287137848705,1,6.176104090647972,1.0686764886127313,-2.5628568385375137,-0.3917920570010704,-2.59463385828543,-1.6613759553938998,0.958580165390419,0.7624349876158363,-0.26058386668791744,0.0,6.176104090647972,1
7,1.5297987502856348e-05,0.0,6.0512775992303e-05,2.398478835978836,2.0,4.784104689737671,0.5306615516071174,0.00016534391534391552,0.46279761904761907,396,0.06547619047619048,27.423229074781005,1128.9684433474347,6048,7253,0.0001983197317660688,1,-0.25916859668891934,0.9134527750202055,0.0025857030247429455,-0.853513475945644,-0.18791127851369768,-0.05832861383779543,1.2317153656704678,1.2365023309437941,-0.8233222965808101,0.0,1.2365023309437941,0
8,6.507209641474574e-06,0.0,1.9938042280554405e-05,2.3271258694188917,2.0,2.985191250966102,0.5928534675215172,0.00022436616558223018,0.5404980928875925,423,0.09490688804128337,8.27840492007389,133.51025250850174,4457,5186,0.0002611227411825507,1,-0.281313276690521,0.44978628125845677,0.8236548449339379,-0.4387825967437805,0.7466871147894596,1.0799742558177723,-1.2101132139254995,-0.7396795781365217,-0.390177217479078,0.0,1.2101132139254995,0
9,2.1344951199611082e-05,0.0,5.8787465929520394e-05,2.377502001601281,2.0,3.128992943718126,0.46124010954075245,0.00020016012810248186,0.4055244195356285,463,0.09267413931144916,10.194326486103584,179.85693921930076,4996,5939,0.00023798818834847658,1,-0.24393580635369783,0.7771409198166715,-0.9139289762461594,-0.6088708459283635,-0.876805922238509,0.9936173395140085,-0.9657467993588079,-0.6476722144254391,-0.5497335478269744,0.0,0.9936173395140085,0
10,0.00017213777384988963,2.976954649817103e-07,0.0004195517150993747,2.5532927010554483,2.0,6.052779120599396,0.40522278512370047,0.0001486546751895347,0.3112828898468857,510,0.0758138843466627,33.358916833458714,1320.2837656368908,6727,8588,0.00018980766436629855,1,0.13592350266128433,1.919465635683437,-1.6534800226307658,-0.9707835429879921,-2.010363774291383,0.34150650975561825,1.9887832755960626,1.616301183690857,-0.8820290391628807,0.0,2.010363774291383,1
